,def,term
249,"""eligible infrastructure project"" means an infrastructure project which, prior to the date of its acquisition by, or transfer to, the invit, satisfies the following conditions,– for ppp projects,– (1) the infrastructure project is 7[a] completed and revenue  generating [project]8, or 9 [“(1a) the infrastructure project, which has achieved commercial operations date and does not have the track record of revenue from operations for a period of not less than one year, or”] (2) the infrastructure project is a pre-cod project; in non-ppp projects, the infrastructure project has received all the requisite approvals and certifications for commencing construction of the project;  6 inserted by the securities and exchange board of india (infrastructure investment trusts) regulations, 2016, w.e.f 30.11.2016. 7 inserted by the securities and exchange board of india (infrastructure investment trusts) regulations, 2016, w.e.f 30.11.2016. 8 inserted by the securities and exchange board of india (infrastructure investment trusts) regulations, 2016, w.e.f 30.11.2016. 9inserted by the securities and exchange board of india (infrastructure investment trusts) regulations, 2016, w.e.f 30.11.2016. 5 ",eligible infrastructure project
250,"""follow–on offer” means offer of units of an invit to the public for subscription and includes an offer for sale of invit units by an existing unit holder to the public; 10[***] ",follow–on offer
251,"“form” means any of the forms set out in the schedule i;          11[general purposes"" include such identified purposes for which no specific amount is allocated or any amount so specified towards general purpose or any such purpose by whatever name called, in the draft offer document filed with the board:                          provided that any issue related expenses shall not be considered as a part of general purpose merely because no specific amount has been allocated for such expenses in the draft offer document filed with the board;”] “governing board” in case of an llp shall mean a group of members assigned by the llp to act in a manner similar to the board of directors in case of a company; ",form
252,"        12 [“holdco” or “holding company” means a company or llp,- in which invit holds or proposes to hold controlling interest and not less than fifty one per cent of the equity share capital or interest and which in turn has made investments in other spv, which ultimately hold the infrastructure assets; which is not engaged in any other activity other than holding of the underlying spv, holding of infrastructure projects and any other activities pertaining to and incidental to such holdings;”] 10 sub clause omitted by the securities and exchange board of india (infrastructure investment trusts) ",holdco” or “holding company
253,"regulations, 2016, w.e.f 30.11.2016. prior to omission it read as ‘“follow-on offer document” means any document by which follow-on offer is made to the public by an invit;’ 11 inserted by the securities and exchange board of india (infrastructure investment trusts) regulations, 2016, w.e.f 30.11.2016. 12 inserted by the securities and exchange board of india (infrastructure investment trusts) regulations, 2016, w.e.f 30.11.2016. 6 ",follow-on offer document
254,"“infrastructure” includes all infrastructure sub-sectors as defined vide notification of the ministry of finance dated october 07, 2013 and shall include any amendments or additions made thereof; ",infrastructure
255,"""infrastructure project"" means any project in infrastructure sector; ",infrastructure project
256,13 [“initial offer” means the first offer of units of an invit including an offer for sale of the invit units by an existing unit holder whether through public issue or private placement;”] ,initial offer
257,“initial 14 [public] offer” means the first offer of units of an invit to the public for subscription and includes an offer for sale of the invit units by an existing unit holder to the public; 15[***] “infrastructure developer” in case of ppp projects shall mean the lead member of the concessionaire spv; ,initial 14 [public] offer
258,“inspecting officer” means any one or more person appointed by the board  ,inspecting officer
259,"c) “board” means the securities and exchange board of india established under section 3 of the act; d) ‘buyback period’ means the period between the date of board of directors resolution or date of declaration of results of the postal ballot for special resolution, as the case may be, to authorize buyback of shares of the company and the date on which the payment of consideration to shareholders who have accepted the buyback offer is made; e) ‘control’  has  the  same  meaning  as  defined in clause of sub-regulation (1) of regulation (2) of the securities and exchange board of india (substantial acquisition of shares and takeovers) regulations, 2011; f) ‘company’ means a company as defined under the companies act, whose shares or other specified securities are listed on a stock exchange and which buys or intends to buy such shares or other specified securities in accordance with these regulations; g) ‘companies act’ means the companies act, 2013. h) ‘insider’ means an insider as defined in clause of sub-page 3 of 41 regulation (1) of regulation 2 of the securities and exchange board of india (prohibition of insider trading) regulations, 2015; i) ‘merchant banker’ means a merchant banker as defined in clause of regulation 2 of the securities and exchange board of india (merchant bankers) regulations, 1992 and registered under section 12 of the act; j) ‘odd lots’ mean the lots of shares or other specified securities of a company, whose shares are listed on a recognised stock exchange, which are smaller than such marketable lots, as may be specified by the stock exchange;  k) ‘promoter’ means promoter as defined in clause of sub-regulation (1) of regulation 2 of the securities and exchange board of india (substantial acquisition of shares and takeovers) regulations, 2011; l) ‘registrar’ means a registrar to an issue and includes a share transfer agent, registered under section 12 of the act; m) ‘securities’ mean securities as defined in clause of section 2 of the securities contracts act, 1956 (42 of 1956); ‘small shareholder’ means a shareholder of a company, who holds shares or other specified securities whose market value, on the basis of closing price of shares or other specified securities, on the recognised stock exchange in which highest trading volume in respect of such securities, as on record date is not more than two lakh rupee; n) ‘specified securities’ includes employees’ stock option or other securities as may be notified by the central government from time to time; page 4 of 41 o) ‘statutory auditor’ means an auditor appointed by a company under section 139 of the companies act; p) ‘stock exchange’ means a stock exchange which has been granted recognition under section 4 of the securities contracts act, 1956 (42 of 1956); q) ‘tender offer’ means an offer by a company to buy-back its own shares or other specified securities through a letter of offer from the holders of the shares or other specified securities of the company; r) ‘unpublished  price  sensitive  information’ has the same meaning as defined in clause of sub-regulation (1) of regulation 2 of the securities and exchange board of india (prohibition of insider trading) regulations, 2015; s) ‘working day’ means any working day of the board. all other expressions unless defined herein shall have the same meaning as has been assigned to them under the act or the securities contracts act, 1956, or companies act or any statutory modification or re-enactment thereof, as the case may be. ",board
260,"“act” means the securities and exchange board of india act, 1992 (15 of 1992); ",act
261,"""asset management company"" means a company as defined under clauseof regulation 2 of securities and exchange board of india ( mutual funds) regulations, 1996; ",asset management company
262,"""associate""  means an associate as defined in securities and exchange board of india regulations, 2008; ",associate
263,"""board"" means the securities and exchange board of india established under section 3 of the act; ",board
264,“certificate” means a certificate of registration granted under these regulations; ,certificate
265,"“control” means control as defined under the companies act, 2013;  page 2 of 24 ",control
266,"""fund manager"" includes fund managers of a mutual fund or alternative investment fund or venture capital fund or portfolio manager; ",fund manager
267,"""independent research analyst"" means a person whose only business activity is research analysis or preparation and/or publication of research report;  ",independent research analyst
268,“inspecting authority” means any one or more persons appointed by the board to exercise powers conferred under regulation 27; ,inspecting authority
269,"""investment adviser"" means any person registered under securities and exchange board of india (investment advisers) regulations, 2013; ",investment adviser
270,"“limited liability partnership” means a partnership formed and registered under the limited liability partnership act, 2008(6 of  2009); ",limited liability partnership
271,"“merchant banking or investment banking or brokerage services” includes,-  i. acting as an underwriter;  ii. participating in a selling or an offering for the issuer or otherwise acting in furtherance of a public offer of the issuer;  iii. acting as an adviser in a merger  or acquisition;  iv. providing or arranging venture capital or equity or debt;  v. serving as placement agent for the issuer or otherwise acting in furtherance of a private offering of the issuer;  vi. offering brokerage or market making services; ",merchant banking or investment banking or brokerage services
272,“nbfc” means a non-banking financial company registered by reserve bank of india; ,nbfc
273,“nism” means the national institute of securities market established by the  board; ,nism
274,"""price target"" means expectations of research analyst on the future performance of specific securities; ",price target
275,"""proxy adviser” means any person who provide advice, through any means, to institutional investor or shareholder of a company, in relation to exercise of their rights in the company including recommendations on public offer or voting recommendation on agenda items; ",proxy adviser
276,"“public appearance” means any participation in a conference call, seminar, forum (including interactive and non-interactive electronic forum), radio or television or internet or web or print media broadcast, authoring a print media article or other public speaking activity in public media in which a research analyst makes a recommendation or offers an opinion, concerning securities or public offer:   provided that it does not include a password protected webcast, conference call or such other events with the clients, if all of the event participants previously received the research report or other documentation that contains the required applicable disclosures and that the research analyst appearing at the event corrects and updates during the public appearance any disclosures in the research report that are inaccurate, misleading or no longer applicable; ",public appearance
277,"“public media” means any media source available to the general public and includes a radio, television, internet, web or print media;  page 3 of 24 ",public media
278,"""public offer"" includes initial public offer, further public offer, offer for sale, disinvestment, takeover, buy-back or delisting of securities; ",public offer
279,"""relative"" means a person as defined in sub section (77) of section 2 of the companies act, 2013 and who is financially dependent on independent research analyst or individual research analyst employed by research entity; ",relative
280,"“research analyst” means a person who is primarily responsible for,- i. preparation or publication of the content of the research report; or  ii. providing research report; or  iii. making  'buy/sell/hold' recommendation; or  iv. giving price target; or  v. offering an opinion concerning public offer, with respect to securities that are listed or to be listed in a stock exchange, whether or not any such person has the job title of 'research analyst' and includes any other entities engaged in issuance of research report or research analysis. explanation.-the term also includes any associated person who reports directly or indirectly to such a research analyst in connection with activities provided above; ",research analyst
281,"""research entity"" means an intermediary registered with board who is also engaged in merchant banking or investment banking or brokerage services or underwriting services and issue research report or research analysis in its own name through the individuals employed by it as research analyst and includes any other intermediary engaged in issuance of research report or research analysis; ",research entity
282,"“research report” means any written or electronic communication that includes research analysis or research recommendation or an opinion concerning securities or public offer, providing a basis for investment decision and does not include the following communications:-  comments on general trends in the securities market; discussions on the broad-based indices; commentaries on economic, political or market conditions; periodic reports or other communications prepared for unit holders of mutual fund or alternative investment fund or clients of portfolio managers and investment advisers; internal communications that are not given to current or prospective clients;  communications that constitute offer documents or prospectus that are circulated as per regulations made by the board; statistical summaries of financial data of the companies; technical analysis relating to the demand and supply in a sector or the index; any other communication which the board may specify from time to time; ",research report
283,"""securities"" means securities as defined in clause of section 2 of the securities contracts act, 1956; ",securities
284,"""significant news or event"" means any news or event which is expected to have a material impact on, or that reflects a material change to, the subject company's page 4 of 24 earnings, operations or financial condition, other than unpublished price sensitive information, as specified in the internal policies and procedures of the research analyst or research entity; ",significant news or event
285,“subject company” means the company whose securities are the subject of a research report or a public appearance; ,subject company
286,"""stock exchange"" means a stock exchange recognised under section 4 of the securities contracts act, 1956 (42 of 1956); ",stock exchange
287,"“third party research report” means a research report produced by a person  or entity other than the research analyst or research entity. (2) the words and expressions used and not defined in these regulations but defined in the act, the securities contracts act, 1956 (42 of 1956), the companies act, 1956 and  2013, or any rules or regulations made thereunder shall have the same meanings respectively assigned to them in those acts, rules or regulations made thereunder or any statutory modification or re-enactment thereto, as the case may be. ",third party research report
288,"a. “appreciation” means the difference between the market price of the share of a company on the date of exercise of stock appreciation right or vesting of sar, as the case may be, and the sar price; ",appreciation
289,"b. “associate company” shall have the same meaning as defined under section 2(6) of the companies act, 2013; ",associate company
290,c. “board” means the securities and exchange board of india or sebi;  ,board
291,"d. ""control"" shall have the same meaning as defined under the securities and exchange board of india (substantial acquisition of shares and takeovers) regulations, 2011; ",control
292,e. “emergency” means the need of funds by the trust to meet the commitment arising out of the objective of the scheme;  ,emergency
293,"f. “employee” means, — 1[a permanent employee of the company who has been working in india or outside india; or  a director of the company, whether a whole time director or not but excluding an independent director; or  an employee as defined in clause or of a subsidiary, in india or outside india, or of a holding company of the company  1 substituted by securities and exchange board of india (share based employee benefits) regulations, 2015 (w.e.f. 18.09.2015). prior to its substitution, clause read as under: “a permanent employee of the company who has been working in india or outside india; or a director of the company, whether a whole time director or not but excluding an independent director; or an employee as defined in clauses or of a subsidiary, in india or outside india, or of a holding company of the company or of an associate company but does not include—   an employee who is a promoter or a person belonging to the promoter group;     or a director who either himself or through his relative or through any body corporate, directly or indirectly, holds more than ten percent of the outstanding equity shares of the company;” 4 but does not include— an employee who is a promoter or a person belonging to the promoter group; or a director who either himself or through his relative or through any body corporate, directly or indirectly, holds more than ten per cent of the outstanding equity shares of the company; ] ",employee
294,g. “employee stock option scheme or esos” means a scheme under which a company grants employee stock option directly or through a trust; ,employee stock option scheme or esos
295,"h. “employee stock purchase scheme or esps” means a scheme under which a  company offers shares to employees, as part of public issue or otherwise, or through a trust where the trust may undertake secondary acquisition for the purposes of the scheme; ",employee stock purchase scheme or esps
296,"i. “exercise” means making of an application by an employee to the company or to the trust for issue of shares or appreciation in form of cash, as the case may be, against vested options or vested sars  in pursuance of the schemes covered under part a or part c of ",exercise
297,"“act” means the securities and exchange board of india act, 1992 (15 of 1992); ",act
298,"“advertisement” includes all forms of communication including notices, brochures, pamphlets, show cards, catalogues, hoardings, placards, posters, insertions in newspaper, cover pages of offer documents, pictures, films, etc., in any print media or electronic media or social media, radio, television programme; ",advertisement
299,"""board"" means the securities and exchange board of india established under section 3 of the act; 4[“constitution document” shall mean the central or state act, rules, regulations or charter under which the issuer has been established or incorporated or notified; 4 clauses to substituted by the securities and exchange board of india (issue and listing of debt securities by municipalities) regulations, 2019 w.e.f. 27.09.2019. prior to their substitutions, the clauses to read as follows,- ",board
300,"““corporate municipal entity” means a company as defined under companies act, 2013, which is a subsidiary of a municipality and which is set up for the purpose of raising funds for a specific municipality or group of municipalities; ",“corporate municipal entity
301,"“debt securities” means a non-convertible debt securities which create or acknowledge indebtedness, and include debenture, bonds and such other securities of a municipality, or a corporate municipal entity, whether constituting a charge on the assets of such body or not; ",debt securities
302,“designated stock exchange” means a recognised stock exchange in which securities of an issuer are listed or proposed to be listed and which is chosen by the issuer as a designated stock exchange for the purpose of a particular issue of debt securities under these regulations; ,designated stock exchange
303,"""general obligation bonds"" means debt securities where principal and interest are serviced through tax proceeds of the municipality. ",general obligation bonds
304,"""issuer” means any municipality or a corporate municipal entity, which makes or proposes to make an issue of debt securities in accordance with these regulations or which has its securities listed on a recognised stock exchange or which seeks to list its debt securities on a recognised stock exchange; ",issuer
305,"""municipality"" means an institution of self-government constituted under article 243q of the constitution of india;  ",municipality
306,"""national municipal accounts manual"" means the municipal accounting manual formulated by the ministry of urban development; ",national municipal accounts manual
307,"""offer document” means prospectus or shelf prospectus and includes any such document or advertisement whereby the subscription to debt securities are invited by the issuer from public; ",offer document
308,"""private placement"" means any offer of debt securities or invitation to subscribe to debt securities to a select group of persons by a municipality through issue of a private placement offer letter to not more than two hundred persons, which shall not intend to result in, directly or indirectly,  the debt securities becoming available for subscription or purchase by persons other than those receiving the offer or invitation: page - 3 - of 68 “credit enhancement” shall mean any arrangement including subordination, insurance, letter of credit, over-collateralization, undertakings, guarantees, letter of comfort etc.;  “designated stock exchange” shall mean a recognized stock exchange in which securities of an issuer are listed or proposed to be listed and which is chosen by the issuer as a designated stock exchange for the purpose of a particular issue of municipal debt securities under these regulations; “draft offer document” shall mean the draft offer document filed with the board in relation to a public issue under these regulations;   “fugitive economic offender” shall mean an individual who is declared a fugitive economic offender under section 12 of the fugitive economic offenders act, 2018 (17 of 2018);  “general purposes” include such identified purposes for which no specific amount is allocated or any amount so specified towards general purpose or any such purpose by whatever name called, in the draft offer document or the offer document; “interest payment account” shall mean the account wherein the interest amount due to be paid by the borrower/issuer is deposited. ",private placement
309,"“institutional investor” shall have the same meaning as assigned to it under securities and exchange board of india  (issue of capital and disclosure requirements) regulations, 2018;  ""issuer” shall mean any municipality or any statutory body or board or corporation, authority, trust or agency established or notified by any central provided that for a corporate municipal entity, it shall mean an offer or invitation made in terms of section 42 of the companies act, 2013 and the rules made thereunder, through issue of a private placement offer letter; ",institutional investor
310,"“public issue” means an offer or invitation by an issuer to public to subscribe to the debt securities, which is not in the nature of a private placement; ",public issue
311,"""revenue bonds"" means debt securities which are serviced by revenues from one or more projects; ",revenue bonds
312,"“schedule"" means a schedule annexed to these regulations; ",schedule
313,"""shelf prospectus"" means a prospectus in respect of which the securities or class of securities included therein are issued for subscription in one or more issues over a certain period without the issue of a further prospectus: provided that for a corporate municipal entity, it shall have the same meaning as assigned to it in section 31 of companies act, 2013; ",shelf prospectus
314,"“specified” includes specified by regulations or by a general or special order or circular issued by the board; page - 6 - of 68 “wilful defaulter” shall mean a person or an issuer who or which is categorized as a wilful defaulter by any bank or financial institution (as defined under the companies act, 2013) or a consortium thereof, in accordance with the guidelines on wilful defaulters issued by the reserve bank of india.] (2) all other words and expressions used but not defined in these regulations, shall have the same meanings respectively assigned to them in the act 5[***] or securities contracts act, 1956 or the depositories act, 1996 or the rules and the regulations made thereunder or any statutory modification or re-enactment thereto. applicability.  3. these regulations shall apply to – 6[issuance and listing of municipal debt securities by an issuer by way of public issuance; and  issuance and listing of municipal debt securities by an issuer on private placement basis which are intended/disclosed to be listed on a recognised stock exchange.] ",specified
315,"“qualified institutional buyer” shall have the same meaning as assigned to it under securities and exchange board of india  (issue of capital and disclosure requirements) regulations), 2018; “schedule"" shall mean a schedule annexed to these regulations; ""shelf offer document"" shall mean an offer document in respect of which the municipal debt securities included therein are offered for subscription to the public in one or more offers over a period not exceeding one year from the date of opening of the first offer of securities under that offer document, without the issue of a further offer document: provided that for a body corporate to whom the companies act, 2013 applies, it shall have the same meaning as assigned to “shelf prospectus” in section 31 of companies act, 2013; “sinking fund account” shall mean the account that is created specifically for repayment of municipal debt securities; ",qualified institutional buyer
